SupplierQuotation,ItemNumber,PurchasingDocumentCategory,PurchasingDocumentItemText,Material,ManufacturerMaterial,SupplierMaterialNumber,ManufacturerPartNmbr,Manufacturer,MaterialGroup,Plant,IncotermsClassification,IncotermsTransferLocation,IncotermsLocation1,IncotermsLocation2,OrderPriceUnit,OrderPriceUnitToOrderUnitNmrtr,OrdPriceUnitToOrderUnitDnmntr,OrderQuantityUnit,OrderItemQtyToBaseQtyNmrtr,OrderItemQtyToBaseQtyDnmntr,ScheduleLineOrderQuantity,PurgDocPriceDate,BaseUnit,NetAmount,NetOrderPrice,NetPriceQuantity,DocumentCurrency,PurchaseRequisition,PurchaseRequisitionItem,RequestForQuotation,RequestForQuotationItem,YY1_Specifications_PDI,YY1_MaterialMake_PDI,AccountingAssignment
SQ10000001,00010,A,Steel Plate,MAT001,MAT001,TATA001,MPN001,TATA,STEEL,1000,FOB,Mumbai,Mumbai Port,Bangalore,EA,1,1,EA,1,1,100,2026-05-20,EA,50000,500,1,INR,PR1000001,00010,RFQ1000001,00010,IS2062,TATA,K
SQ10000001,00020,A,Steel Rod,MAT002,MAT002,TATA002,MPN002,TATA,STEEL,1000,FOB,Mumbai,Mumbai Port,Bangalore,EA,1,1,EA,1,1,50,2026-05-20,EA,25000,500,1,INR,PR1000001,00020,RFQ1000001,00020,GradeA,TATA,K
SQ10000001,00030,A,Steel Pipe,MAT003,MAT003,TATA003,MPN003,TATA,STEEL,1000,FOB,Mumbai,Mumbai Port,Bangalore,EA,1,1,EA,1,1,75,2026-05-20,EA,37500,500,1,INR,PR1000001,00030,RFQ1000001,00030,Seamless,TATA,K
SQ10000002,00010,A,Steel Plate,MAT001,MAT001,JSW001,MPN001,JSW,STEEL,1000,FOB,Chennai,Chennai Port,Bangalore,EA,1,1,EA,1,1,100,2026-05-21,EA,48000,480,1,INR,PR1000001,00010,RFQ1000001,00010,IS2062,JSW,K
SQ10000002,00020,A,Steel Rod,MAT002,MAT002,JSW002,MPN002,JSW,STEEL,1000,FOB,Chennai,Chennai Port,Bangalore,EA,1,1,EA,1,1,50,2026-05-21,EA,24000,480,1,INR,PR1000001,00020,RFQ1000001,00020,GradeA,JSW,K
SQ10000002,00030,A,Steel Pipe,MAT003,MAT003,JSW003,MPN003,JSW,STEEL,1000,FOB,Chennai,Chennai Port,Bangalore,EA,1,1,EA,1,1,75,2026-05-21,EA,36000,480,1,INR,PR1000001,00030,RFQ1000001,00030,Seamless,JSW,K
SQ10000003,00010,A,Steel Plate,MAT001,MAT001,SAIL001,MPN001,SAIL,STEEL,1000,FOB,Kolkata,Kolkata Port,Bangalore,EA,1,1,EA,1,1,100,2026-05-21,EA,51000,510,1,INR,PR1000001,00010,RFQ1000001,00010,IS2062,SAIL,K
SQ10000003,00020,A,Steel Rod,MAT002,MAT002,SAIL002,MPN002,SAIL,STEEL,1000,FOB,Kolkata,Kolkata Port,Bangalore,EA,1,1,EA,1,1,50,2026-05-21,EA,25500,510,1,INR,PR1000001,00020,RFQ1000001,00020,GradeA,SAIL,K
SQ10000003,00030,A,Steel Pipe,MAT003,MAT003,SAIL003,MPN003,SAIL,STEEL,1000,FOB,Kolkata,Kolkata Port,Bangalore,EA,1,1,EA,1,1,75,2026-05-21,EA,38250,510,1,INR,PR1000001,00030,RFQ1000001,00030,Seamless,SAIL,K
SQ10000004,00010,A,Steel Plate,MAT001,MAT001,JIND001,MPN001,JINDAL,STEEL,1000,FOB,Mumbai,Mumbai Port,Bangalore,EA,1,1,EA,1,1,100,2026-05-22,EA,49500,495,1,INR,PR1000001,00010,RFQ1000001,00010,IS2062,JINDAL,K
SQ10000004,00020,A,Steel Rod,MAT002,MAT002,JIND002,MPN002,JINDAL,STEEL,1000,FOB,Mumbai,Mumbai Port,Bangalore,EA,1,1,EA,1,1,50,2026-05-22,EA,24750,495,1,INR,PR1000001,00020,RFQ1000001,00020,GradeA,JINDAL,K
SQ10000004,00030,A,Steel Pipe,MAT003,MAT003,JIND003,MPN003,JINDAL,STEEL,1000,FOB,Mumbai,Mumbai Port,Bangalore,EA,1,1,EA,1,1,75,2026-05-22,EA,37125,495,1,INR,PR1000001,00030,RFQ1000001,00030,Seamless,JINDAL,K
SQ10000005,00010,A,Steel Plate,MAT001,MAT001,ESSAR001,MPN001,ESSAR,STEEL,1000,FOB,Vizag,Vizag Port,Bangalore,EA,1,1,EA,1,1,100,2026-05-22,EA,47000,470,1,INR,PR1000001,00010,RFQ1000001,00010,IS2062,ESSAR,K
SQ10000005,00020,A,Steel Rod,MAT002,MAT002,ESSAR002,MPN002,ESSAR,STEEL,1000,FOB,Vizag,Vizag Port,Bangalore,EA,1,1,EA,1,1,50,2026-05-22,EA,23500,470,1,INR,PR1000001,00020,RFQ1000001,00020,GradeA,ESSAR,K
SQ10000005,00030,A,Steel Pipe,MAT003,MAT003,ESSAR003,MPN003,ESSAR,STEEL,1000,FOB,Vizag,Vizag Port,Bangalore,EA,1,1,EA,1,1,75,2026-05-22,EA,35250,470,1,INR,PR1000001,00030,RFQ1000001,00030,Seamless,ESSAR,K
